Sitio,Depth Group,Fecha,Profuidad (m),Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),PT (µg/l),NT (µg/l)
SA,0-10 m,2022-09-06 00:00:00,4.5,23.60389643,1.748483719,8.735566499,0.458029241,7.58967292,243.9326923,3.09244797,5.589055949,9.200702079,9.04384,4.907390085,2.257142857,10.81168347
SA,0-10 m,2022-10-18 00:00:00,4.5,22.98700161,2.96997189,8.618268005,0.613248274,7.282552036,242,2.923708209,5.257606272,2.745620339,2.586310345,4.607578628,2.690909091,11.21115703
SA,0-10 m,2022-11-08 00:00:00,4.5,23.0296862,2.414392746,8.473295127,0.465015669,7.074862201,242.3145444,2.966605203,5.630714121,13.78917183,6.8481,1.614293333,3.6,27.1357279
SA,0-10 m,2022-12-06 00:00:00,4.5,21.72060968,1.953923496,8.473870871,0.526665259,6.541632997,245,2.051462394,5.740218704,15.74948672,5.959758621,9.601057627,2.354545455,63.64725352
SA,0-10 m,2023-01-17 00:00:00,4.5,20.93843957,2.404316626,8.057423214,0.500261693,6.907896067,247.2500874,1.775165511,6.045394446,94.98701547,6.825680625,5.203251267,2.791666667,53.70328935
SA,0-10 m,2023-02-14 00:00:00,4.5,20.8306116,2.319906262,7.617233086,0.458140431,6.587865041,248,1.800616031,6.378226764,138.129966,6.56548,3.097805128,2.973913043,35.29899409
SA,0-10 m,2023-03-14 00:00:00,4.5,21.40490335,4.790844511,8.230917056,0.545758487,7.724225387,249,2.229708905,5.626199692,25.25349143,8.122854545,0.951542857,2.026666667,46.84045691
SA,0-10 m,2023-04-11 00:00:00,4.5,22.01185843,1.948239141,8.083014916,0.443246261,7.12905906,250,2.192844531,6.19633622,23.73064087,6.798690909,2.4752,2.572727273,45.90004001
SA,0-10 m,2023-05-09 00:00:00,4.5,23.48376528,1.287146305,7.509066358,0.42291327,7.769248012,249.9323475,3.310180448,5.932562214,2.489625,2.6088,7.973373574,3.273333333,15.99301438
SA,0-10 m,2023-06-13 00:00:00,4.5,24.3990621,1.619732059,8.478696615,0.48989284,7.669910373,249,3.582782362,5.236379904,1.87769697,2.77185,4.860637685,2.008695652,5.345690928
SA,0-10 m,2023-07-18 00:00:00,4.5,24.0155304,2.203525877,7.963983283,0.544055403,7.142385959,0,3.776294933,5.59981808,0,0,15.35220366,0,12.00238628
SA,0-10 m,2023-08-16 00:00:00,4.5,24.16439282,2.361199288,8.005407685,0.676411793,7.316590431,247,3.593279291,5.184232943,0,0,19.75132737,0,20.79127643
SA,0-10 m,2023-09-05 00:00:00,4.5,24.18380477,2.097211804,8.507137021,0.54546511,7.451776143,233.2895775,3.378554651,5.292464135,0,0,1.353901945,0,11.81031663
SA,0-10 m,2023-10-18 00:00:00,4.5,24.08513029,19.30642264,9.50335046,42.31083373,7.166338597,300,3.74499207,3.464398382,0,0,0,0,1.790538128
SA,0-10 m,2023-11-14 00:00:00,4.5,22.8981749,2.445632852,8.148195976,0.597033422,7.015025945,242.3262974,2.783289796,5.579346132,0,0,0.458539689,0,25.05975212
SA,0-10 m,2023-12-05 00:00:00,4.5,22.41830809,2.845376782,8.285028244,0.563849851,6.751127747,245.6585129,2.58415244,5.573114133,0,0,7.636992462,0,35.55599716
SA,10-30 m,2014-02-18 00:00:00,18.45727273,20.55363636,30.72002028,8.976363636,12.57605112,7.900909091,300,1.966448966,6.381661547,16.69437073,0.909090909,0,57.04813616,61.60273751
SA,10-30 m,2014-03-26 00:00:00,19.5,21.745,30.54554399,5.770138449,32.41619405,6.491,228.7,1.996844287,6.141106423,118.8768542,13.23,15.43586999,17.7018388,42.17099144
SA,10-30 m,2014-04-22 00:00:00,19.5,21.945,2.0185,8.489,24.88950268,6.3285,300,2.706135943,6.219970813,39.82314122,7.25,15.43586999,22.92819088,28.29268989
SA,10-30 m,2014-05-19 00:00:00,19.5,22.4995,1.253,8.9285,30.75067398,6.868,300,2.976320516,6.135701474,0,0,0,0,25.91232226
SA,10-30 m,2014-06-24 00:00:00,19.5,22.8935,1.3445,8.9505,32.29563581,6.784,300,3.203359074,6.011074516,0,0,0,0.267922698,22.04985874
SA,10-30 m,2014-07-22 00:00:00,19.5,23.1465,1.212,9.29,33.24994242,6.689,300,3.307579999,5.891460532,0,0,0,0.239753258,19.7456828
SA,10-30 m,2014-08-12 00:00:00,19.5,22.799,1.4155,8.8985,32.32890176,6.904,300,3.151396385,6.039481953,0,0,0,0,22.18514256
SA,10-30 m,2014-09-08 00:00:00,19.5,23.1195,1.3225,8.9295,34.73877025,7.5255,300,3.369801974,6.051526988,0,0,6.332124366,0,18.1033449
SA,10-30 m,2014-10-07 00:00:00,19.5,23.1575,7.119917472,9.7955,36.5417622,7.665,300,3.18620019,5.549617916,0,1.4165,0,0,9.321989702
SA,10-30 m,2014-11-11 00:00:00,19.5,22.225,5.827278315,9.64,32.6419087,7.398,300,2.72679674,5.964328008,19.91157061,4.05,7.717934994,8.8509194,16.56985774
SA,10-30 m,2014-12-08 00:00:00,19.5,21.132,3.459,8.497,28.98894692,6.945,300,2.231314072,6.306752025,0,0,0,1.060399065,28.17924416
SA,10-30 m,2015-01-13 00:00:00,19.5,20.297,4.3405,8.4895,6.840040477,0,300,1.979521896,6.321314412,25.58416738,115.3101862,0,99.46931438,62.69380276
