location,depth_group,date,feature,original_value,z_score,replacement_value
WP,10-30m,2019-05-14,total_dissolved_solids,320.0,3.5007990773449507,
WP,10-30m,2019-09-04,total_dissolved_solids,304.2,2.6910261337740162,245.52598890000002
WP,10-30m,2019-12-03,total_dissolved_solids,303.25,2.6423372542555117,
WP,10-30m,2019-12-06,total_dissolved_solids,319.1,3.4546727704326834,274.80308795
WP,10-30m,2023-10-18,total_dissolved_solids,300.0,2.4757700348500977,249.0
WP,30m+,2019-05-14,total_dissolved_solids,319.3508772,3.504303314015433,
WP,30m+,2019-09-04,total_dissolved_solids,304.0,2.680015289518658,246.4433885
WP,30m+,2019-12-03,total_dissolved_solids,303.9607843,2.6779095445855767,
WP,30m+,2019-12-06,total_dissolved_solids,319.3921569,3.50651988847704,274.9537812
WP,30m+,2023-10-18,total_dissolved_solids,300.0,2.465229381519401,249.06406705
SA,0-10m,2018-09-24,turbidity,2.059427356,6.577767858046843,0.431442809
SA,0-10m,2020-10-11,turbidity,1.010816214,2.001645668588743,0.3219835215
SA,10-30m,2018-11-01,turbidity,0.954310232,3.342020982192456,0.49068147149999997
SA,10-30m,2018-12-12,turbidity,0.867268459,2.5842005153184036,0.4313018815
SA,10-30m,2020-09-06,turbidity,0.323458836,-2.15042342659582,0.643311519
SA,10-30m,2021-07-12,turbidity,0.817451559,2.1504746717947647,0.6507076505
SA,30m+,2018-05-15,turbidity,2.011424514,3.2553494430336816,1.1100947595
SA,30m+,2019-09-04,turbidity,1.676730844,2.3901222666643136,0.44282308049999997
SA,30m+,2019-12-03,turbidity,2.067913223,3.401380188654956,1.1490357535
WG,0-10m,2018-09-24,turbidity,2.505238228,7.342567801528585,0.520323301
WG,10-30m,2018-09-24,turbidity,0.677487958,2.1847404769887224,0.41759322200000004
WG,10-30m,2022-06-09,turbidity,0.688937006,2.27992626799082,0.3758542105
WG,10-30m,2022-10-18,turbidity,0.742600995,2.7260812008108113,0.518108316
WG,30m+,2018-05-16,turbidity,0.326144901,2.1936156874934984,0.3023195005
WG,30m+,2018-06-13,turbidity,0.42715498,3.4809002047598367,0.29918307
WG,30m+,2019-12-06,turbidity,0.391173226,3.0223444320405006,0.2187886795
WG,30m+,2022-06-14,turbidity,0.383047676,2.918791451854499,0.120563425
WP,0-10m,2018-12-06,turbidity,1.326243433,2.18929564122684,0.5442497015
