location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus,nitrogen
SA,10-30m,04/09/2019,21.15461938,2.380832142,8.228953605,6.432631579,7.756859167,3.497054967,276.2655974,0.505126764,7.066666667,11,17.82857143,16.125,28.08605678
SA,30m+,04/09/2019,20.80758481,1.191329674,7.586707142,4.832777778,1.810176363,3.978124893,308.8947368,0.891001227,11.51111111,43.66666667,28.78095238,22.375,86.10408759
WG,0-10m,04/09/2019,22.11172467,2.750867243,8.798153418,7.652,8.18,3.1,266.518957,0.521943182,2.066666667,16,15.54285714,14.04166667,0
WG,10-30m,04/09/2019,21.31421576,2.605267577,8.310459191,6.8645,8.078863509,3.731137684,266.4630313,0.359343007,3.066666667,12,11.06666667,15.98611111,9.291054061
WG,30m+,04/09/2019,20.33095015,0.434040087,7.472115455,2.065413129,8.449021163,2.34316221,304.1525424,0.154367448,34.4,101.8,16.91428571,35.375,152.312004
WP,0-10m,04/09/2019,21.96300536,2.684550008,8.687407531,7.489,3.95,3.4,273.730537,0.92383317,8.4,4.5,8.685714286,19.04166667,39.67564502
WP,10-30m,04/09/2019,21.1731657,1.757495751,8.353469059,6.3995,8.824552475,3.766720459,267.0350645,0.402221385,1.733333333,3.5,8.114285714,15.08333333,23.03244028
WP,30m+,04/09/2019,20.4935328,0.497607309,7.973585501,4.419433962,10.8338415,3.343077108,304,0.29139844,48.84444444,29.83333333,2.971428571,24.04166667,97.47705796
SA,0-10m,09/10/2019,23.77249476,1.707013521,8.903791597,7.233249345,7.05,0.8,244.9638226,0.531225642,0,0,6.739130435,0,0
SA,10-30m,09/10/2019,23.30680521,5.453750964,8.662285241,6.152471263,1.858160416,3.497169889,245.9179208,0.760954276,0,0,16.55395828,0,15.54399185
SA,30m+,09/10/2019,21.02407347,0.916603207,7.783323215,1.737827449,8.254250979,2.02132411,250.3329669,0.406345682,52.86987522,41.81666667,28.07637217,31.91996047,155.7682802
WG,0-10m,09/10/2019,23.88658508,0.987403463,8.933486519,7.090487292,9.05,0.8,264.3703399,0.351433017,0,0,29.21220401,0,0
WG,10-30m,09/10/2019,23.51396931,1.596995294,8.807221557,6.423889839,5.723743705,3.684256585,240.5706608,0.440329006,0,0,11.62160121,0,20.93480185
WG,30m+,09/10/2019,20.36745627,0.468419404,7.670819359,1.157432923,10.54965042,1.329932157,303.1377848,0.153069924,73.82867895,96.76666667,19.01950816,16.54347826,176.9539989
WP,0-10m,09/10/2019,24.18208742,1.202606833,8.885224199,7.200876271,4.675,1.4,245.6168491,0.659779874,0,0,10.75973068,0,22.29661258
WP,10-30m,09/10/2019,23.11443445,1.516732911,8.629929954,5.606762341,4.643825049,3.372738849,245.3973223,0.740860557,0,0,24.6313314,16.80670553,46.8795003
WP,30m+,09/10/2019,20.57247764,0.533582266,7.883517754,2.155641568,8.499131472,1.342768659,246.542957,0.599014685,59.29114676,55.7,26.26194607,20.5402081,157.2012094
SA,0-10m,02/12/2019,20.70249019,3.162290259,8.497697246,7.63,6.9,2.2,252.9,0.709077512,14,12.2,15.95454545,23.60869565,0
SA,10-30m,02/12/2019,20.58328182,3.334257759,8.290921028,6.384066379,7.804321723,0.525613682,296.1943293,0.657584863,13.33333333,14.7,21.86363636,21.2173913,34.60885976
SA,30m+,02/12/2019,20.50449963,1.364718488,8.192353612,4.812144138,4.145516782,2.634548966,283.1485939,0.924132485,9.333333333,16.36666667,14.64728023,21.43478261,125.0498524
WG,0-10m,02/12/2019,20.66481975,2.963568066,8.571286854,7.385440942,8.75,2.1,280.8649284,0.588207951,8,23.7,25.95454545,25.56521739,0
WG,10-30m,02/12/2019,20.56547079,1.882589535,8.255373612,5.805,10.57620874,2.334515652,280.3419454,0.25056391,38.22222222,27.03333333,7.518362336,19.55072464,37.55164977
WG,30m+,02/12/2019,20.30666612,0.741758746,7.620372698,2.374170926,9.231368045,0,242.605814,0.157678143,60.86666667,94.9,42.36363636,32.95652174,158.4966912
WP,0-10m,02/12/2019,20.71869926,2.377600897,8.419938411,6.883,7.9,2,292.8842284,0.548489967,22.66666667,24.7,4.533333333,18.17391304,11.24895555
