location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
WG,0-10m,2016-04-13,22.911,2.199,8.483,8.291,4.0,3.1,,,,,,
WG,10-30m,2016-04-13,21.959,2.177,8.2745,7.395,4.0,3.1,,,,,,
WG,30m+,2016-04-13,20.54830493,0.311116443,8.061189242,3.416449837,4.0,3.1,,,,,,
WP,0-10m,2016-04-13,23.517,1.099,8.036,8.329,4.5,2.0,,,,,,
WP,10-30m,2016-04-13,21.975,1.933,7.7865,7.2765,4.5,2.0,,,,,,
WP,30m+,2016-04-13,20.72684594,0.355216454,7.673873627,4.647550532,4.5,2.0,,,,,,
SA,0-10m,2016-05-12,21.665,1.312,8.446,7.794,6.5,2.400405409,,,,,,
SA,10-30m,2016-05-12,21.585,1.341,8.32,7.333,6.5,2.400405409,,,,,,
SA,30m+,2016-05-12,21.4094697,0.739924242,8.110530303,6.141666667,6.5,2.400405409,,,,,,
WG,0-10m,2016-05-12,21.957,1.411,8.457,7.927,6.1,2.580259484,,,,,,
WG,10-30m,2016-05-12,21.817,1.8195,8.4275,7.8245000000000005,6.1,2.580259484,,,,,,
WG,30m+,2016-05-12,20.86767059,0.728423601,7.980349693,3.284234264,6.1,2.580259484,,,,,,
WP,0-10m,2016-05-12,22.232,0.82,8.398,7.93,5.95,2.74181462,,,,,,
WP,10-30m,2016-05-12,21.682000000000002,1.9925000000000002,8.286999999999999,7.277,5.95,2.74181462,,,,,,
WP,30m+,2016-05-12,21.18387846,0.862853676,8.061606622,4.641783044,5.95,2.74181462,,,,,,
SA,0-10m,2016-05-17,23.731,0.797,8.4,7.881,7.5,1.453252834,,,,,,
SA,10-30m,2016-05-17,22.6965,1.0010000000000001,8.1465,6.436,7.5,1.453252834,,,,,,
SA,30m+,2016-05-17,20.83318182,0.225227273,7.803030303,3.30030303,7.5,1.453252834,,,,,,
WP,0-10m,2016-05-17,24.137,0.211,8.578,8.019,9.1,3.4,,,,,,
WP,10-30m,2016-05-17,22.633499999999998,0.7375,8.378499999999999,6.9705,9.1,3.4,,,,,,
WP,30m+,2016-05-17,20.68133512,0.276634987,8.076926351,3.973363117,9.1,3.4,,,,,,
WG,0-10m,2016-05-18,24.011,0.452,8.836,7.926,8.0,2.0,,,,,,
WG,10-30m,2016-05-18,22.8015,0.917,8.6345,6.9695,8.0,2.0,,,,,,
WG,30m+,2016-05-18,20.86343412,0.216597393,8.147096325,2.939113037,8.0,2.0,,,,,,
SA,0-10m,2016-06-09,23.697,0.497,9.91,7.577,7.5,2.400413157,,,,,,
SA,10-30m,2016-06-09,23.497999999999998,0.842,9.783,7.2035,7.5,2.400413157,,,,,,
SA,30m+,2016-06-09,21.13462121,0.358484848,9.183939394,2.340378788,7.5,2.400413157,,,,,,
SA,0-10m,2016-06-14,23.969,0.479,8.747,7.832,7.2,1.474509811,,,,,,
SA,10-30m,2016-06-14,23.456,1.017,8.432500000000001,6.9555,7.2,1.474509811,,,,,,
SA,30m+,2016-06-14,20.85295455,0.315984848,7.858712121,2.653939394,7.2,1.474509811,,,,,,
WP,0-10m,2016-06-14,24.543,0.612,8.606,8.071,5.0,4.5,,,,,,
WP,10-30m,2016-06-14,23.3585,1.0745,8.437999999999999,6.8475,5.0,4.5,,,,,,
WP,30m+,2016-06-14,20.79674674,0.270144601,8.052420236,3.268152398,5.0,4.5,,,,,,
WG,0-10m,2016-06-15,24.142,0.558,8.658,8.029,5.0,2.8,,,,,,
WG,10-30m,2016-06-15,23.145000000000003,1.112,8.461,6.715,5.0,2.8,,,,,,
WG,30m+,2016-06-15,20.65731996,0.436516323,7.811958342,2.433671575,5.0,2.8,,,,,,
WG,0-10m,2016-07-09,23.864,0.427,9.952,7.727,6.2,2.829076429,,,,,,
WG,10-30m,2016-07-09,23.564500000000002,0.8400000000000001,9.8445,7.4905,6.2,2.829076429,,,,,,
