location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Mid-Depth,2018-05-15,22.184185827617448,2.5738895369815613,8.517717463335956,6.195670989729013,,,,0.4184083858469459,28.86072260968183,28.13274043151758,8.417400189403379,48.76148127067697
SA,Lower Photic,2018-05-15,21.24861990815593,1.2544293160524185,8.002166700168837,4.263555409425228,,,,0.471507902538379,74.67124742148361,55.1309481135286,11.532587349847978,71.88410230870478
SA,Deep,2018-05-15,20.478883309169262,0.7334180042350227,7.936285110960304,1.6753320028319174,,,,2.0114245136490765,67.97380227355939,52.40843977584682,16.018456860888204,103.30715141166566
SA,Surface,2018-06-12,23.26055297076557,2.328827108896434,8.91840521577439,7.080478981907223,6.5,0.8,,0.3661612295370596,9.58,16.045107405571283,6.797502865972189,17.74849545604724
SA,Mid-Depth,2018-06-12,23.17331601919259,1.9928486213723555,8.852357987897685,6.880760385833669,,,,0.4203703788220122,21.2,18.05283251402705,10.28651248567014,21.09424990276401
SA,Lower Photic,2018-06-12,21.71986499259691,1.1723648633948294,8.225453284911206,4.491299094397064,,,,0.3912638134738385,49.7,23.61268666051994,3.0592782734386668,26.112881572839164
SA,Deep,2018-06-12,20.56912464818173,0.6274383974911077,7.945360313298534,2.058347708849234,,,,0.8084695529928961,106.5,50.94863621410999,5.426820515376563,234.0724314015784
SA,Surface,2018-07-17,22.59701799,2.513865501,8.880654588999999,6.969427111,5.825,3.1,,0.4726455109090909,16.30923187231484,11.312961499074754,5.144675925925927,42.063492063492056
SA,Mid-Depth,2018-07-17,22.58838491,2.947426491,8.863271948,6.925100509000001,,,,0.54545231,28.386441574970583,9.965518945042309,2.135416666666665,7.738095238095236
SA,Lower Photic,2018-07-17,22.439195179999995,5.012698192999999,8.759926899,6.802457135999999,,,,0.783966606,0.97,8.618076391009863,4.21875,36.30952380952381
