location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Mid-Depth,18/07/2023,23.97330922,3.797017464,7.400906053,7.045187311,,,248.3510851,0.668964534,70.00061337,22.85905053,1.508419183,13.38167075
SA,Lower Photic,18/07/2023,23.4764917,7.086284393,7.194161639,6.405243297,,,252.4835984,0.619544627,200.207736,58.62789321,0.61321492,18.78247741
SA,Deep,18/07/2023,20.90670559,0.700147205,6.179677355,1.218818521,,,253.8159412,0.561118681,215.2034867,92.1369208,0.344653641,32.53452004
SA,Surface,16/08/2023,24.16439282,2.361199288,8.005407685,7.316590431,5.15,2.37262853,247,0.670463206,30.49564257,17.82078157,1.851895331,13.73914064
SA,Mid-Depth,16/08/2023,24.07372475,3.946252534,7.194396234,7.067036678,,,247.1452055,0.665287573,61.6743485,23.59975463,1.546049694,13.05222103
SA,Lower Photic,16/08/2023,23.15871335,2.275367891,6.679606805,5.068397557,,,251.7468752,0.58857388,160.4607792,57.88733825,0.628512784,18.48381041
SA,Deep,16/08/2023,20.90062052,0.765702013,6.007619517,1.568534513,,,254.1937671,0.553912748,154.4975377,86.81714556,0.35325171,34.61383954
SA,Surface,05/09/2023,24.18380477,2.097211804,8.507137021,7.451776143,6.1125,2.339565861,234.3509977,0.552561719,47.46648147,26.94238979,3.858053472,11.7823074
SA,Mid-Depth,05/09/2023,24.03944665,2.988087297,7.52270114,6.989184525,,,245.9223484,0.680383218,42.92829878,29.44914034,3.146054028,14.03560528
SA,Lower Photic,05/09/2023,23.10053371,1.453374013,6.779702874,4.555586863,,,250.7838978,0.598700469,135.4664336,48.66147605,4.924566158,17.90215337
SA,Deep,05/09/2023,21.00557364,0.617008393,6.033430455,1.307332927,,,255.1472691,0.453475759,185.6225975,70.99860978,6.819133368,22.429423
SA,Surface,18/10/2023,24.08513029,19.30642264,9.50335046,7.166338597,5.55,2.295501341,300,0.49235017,83.21103448,28.00232308,7.293379774,13.17459584
SA,Mid-Depth,18/10/2023,24.08054924,34.15525834,9.47648006,7.165019184,,,300,0.523837653,166.9029162,40.6702806,6.088857929,12.2940581
SA,Lower Photic,18/10/2023,23.93011531,26.27388128,9.400332529,6.726468708,,,300,0.506296297,250.9302993,67.04983675,2.475292392,18.08437811
SA,Deep,18/10/2023,21.21056685,6.251747278,8.520064605,1.172102619,,,300,0.574699727,236.5695483,93.47097605,1.391222731,30.64986432
SA,Surface,14/11/2023,22.8981749,2.445632852,8.148195976,7.015025945,6,2.277804319,242.4784522,0.595685565,101.8279353,31.63598555,9.219913028,12.94488827
SA,Mid-Depth,14/11/2023,22.78494977,6.763039366,7.420522754,6.751803619,,,244.6482589,0.597709617,204.3958929,46.69856433,7.697218887,12.03397048
SA,Lower Photic,14/11/2023,22.64763869,5.351732373,7.2717877,6.429547058,,,245.1392215,0.630719871,284.0052846,70.31483986,3.129136461,17.95058004
SA,Deep,14/11/2023,21.36407319,1.694841648,6.723168213,2.776032197,,,251.0433908,0.544346597,267.2103029,95.9653873,1.758711734,29.19195083
SA,Surface,05/12/2023,22.41830809,2.845376782,8.285028244,6.751127747,5.275,2.267094554,245.6895572,0.559574156,44.82041684,26.31958411,3.624312449,11.72483845
SA,Mid-Depth,05/12/2023,22.40941466,4.363722661,8.054323939,6.676940706,,,246,0.57579307,43.54286513,28.56147959,2.945418011,14.06011669
SA,Lower Photic,05/12/2023,22.39646629,4.407944066,7.865226781,6.633135997,,,245.9979302,0.693556963,142.1775227,49.17212894,4.639152847,17.99632805
SA,Deep,05/12/2023,21.52855896,2.996859723,7.544330309,3.539818721,,,250.2854033,0.990976583,192.2123454,72.73724026,6.414291994,22.93310405
